#{"t_start": 1767722046.9702315, "env_id": "None"}
r,l,t
58.971573,70,1882.727716
1066.9347,568,1888.382758
1966.039,900,1888.782529
1710.2881,900,1896.952128
1095.2349,575,1902.899462
1854.9279,900,1903.017199
2058.2585,900,1914.358367
1585.061,900,1916.380449
761.8846,401,1916.380449
166.82664,152,1917.622176
529.827,368,1924.409396
2119.6147,900,1927.39224
831.17926,522,1927.80041
27.589447,51,1932.271069
304.7763,232,1936.779455
71.82233,67,1938.615919
643.37866,409,1942.351572
1873.604,900,1945.316126
89.56211,145,1950.612137
966.6751,689,1961.533562
466.17407,383,1962.385778
-35.146126,37,1963.998505
923.2449,529,1964.332202
1813.5765,900,1965.697556
932.39465,579,1968.638115
1965.2689,900,1969.831145
373.47748,268,1970.915666
626.96,337,1971.788448
130.86864,195,1975.674935
1823.9867,900,2004.38894
1997.8734,900,2012.395655
850.31165,406,2015.720703
9.182531,64,2022.50743
2060.0452,900,2027.473819
1139.4071,615,2028.296257
2021.6431,900,2031.312548
246.20247,224,2035.119309
1086.8884,476,2052.313812
239.17099,221,2056.153983
1903.8964,900,2056.36875
1701.2095,900,2058.004947
1695.4698,900,2061.233776
544.5489,366,2062.182001
1872.8303,900,2063.796531
2018.2828,900,2064.935775
868.71796,476,2066.371027
2072.5667,900,2069.251748
188.22993,144,2072.927406
1.9641052,98,2077.927107
2068.9702,900,2104.762323
1879.2155,900,2107.683884
1049.5387,545,2116.420149
1874.9792,900,2124.387244
1754.7428,900,2128.419508
168.60448,147,2128.583642
2080.1755,900,2128.666974
2010.3756,900,2130.242084
1877.489,900,2134.709247
1743.354,900,2136.201293
2054.8188,900,2137.222361
1931.0664,900,2138.671807
632.9297,484,2146.684761
1626.0417,900,2149.845546
327.1808,276,2150.870919
748.8833,355,2167.723495
813.6471,497,2185.884725
1738.9,900,2187.914881
604.3002,435,2197.236379
1989.4684,900,2211.86037
1909.6255,900,2216.755431
2190.0906,900,2216.937646
1757.052,900,2218.97272
1112.3693,686,2223.170842
-28.039764,29,2226.076519
1940.1392,900,2226.461043
1966.5868,900,2227.734771
703.3277,336,2230.233656
426.00143,239,2235.346237
1610.7639,900,2239.087249
501.42685,263,2242.708047
179.60034,122,2250.682176
99.03756,75,2257.899479
1920.6254,900,2263.522228
1942.464,900,2272.274606
2023.6678,900,2274.570055
102.49549,116,2283.967454
1863.5527,900,2300.558398
1815.9146,900,2302.749315
650.48065,444,2303.228377
2025.6075,900,2309.55598
1726.2782,900,2309.920393
1883.536,900,2311.16361
1826.6354,900,2313.62237
-60.316704,53,2316.164111
1761.8647,900,2318.52714
127.60588,104,2319.719223
875.4814,417,2322.98118
7.396381,39,2323.3482
1673.8187,900,2325.572893
303.96164,176,2332.720625
579.242,332,2334.723803
278.52127,153,2337.946366
1863.3857,900,2340.888168
296.95358,165,2353.712199
1988.8416,900,2355.251937
581.99786,312,2394.930705
2065.76,900,2396.002777
1921.1254,900,2398.188872
1823.8257,900,2405.353708
1909.5483,900,2409.588182
101.18683,87,2413.810495
2038.9701,900,2414.562161
1858.9421,900,2419.224528
1890.972,900,2421.887061
1880.0552,900,2428.801601
1624.368,900,2430.615941
14.553451,189,2431.509048
1912.0703,900,2436.145393
436.83636,268,2445.548433
1968.5352,900,2447.74572
1026.6708,593,2449.69179
470.33673,269,2453.993679
85.777405,241,2457.390218
922.2029,494,2459.201714
2003.1262,900,2479.77192
2026.6245,900,2481.984724
1344.7478,674,2490.392101
1986.9382,900,2492.478227
601.7099,364,2493.401793
2057.5193,900,2501.467842
577.78485,302,2507.736028
1774.3079,900,2513.991326
105.11976,111,2517.829092
886.6174,509,2528.247369
2037.996,900,2528.343497
2038.0654,900,2530.585403
1671.0785,900,2532.539968
1629.4043,900,2536.670989
1648.8105,900,2539.852171
477.4641,283,2542.461025
1965.6741,900,2583.206953
1882.1971,900,2585.195716
1890.0405,900,2586.059362
1103.7853,523,2586.840135
1804.5607,900,2593.840014
1965.485,900,2605.05567
445.2875,276,2608.57197
1882.874,900,2617.965478
1772.3446,900,2620.134555
1970.163,900,2621.968397
692.45123,469,2622.137027
1749.7108,900,2625.818948
1926.4569,900,2628.857804
1939.9164,900,2631.483416
606.70703,370,2635.282146
495.36038,371,2639.291003
1792.1125,900,2664.965513
1401.092,900,2665.823465
711.36053,380,2667.247953
1989.1729,900,2672.134601
114.7928,89,2674.17448
664.6902,602,2675.416514
-1.4379541,58,2678.710148
864.9642,547,2681.29461
1938.3896,900,2689.292184
1616.6445,900,2690.735808
604.4943,433,2691.827705
1911.593,900,2691.882586
3.7122684,49,2693.37815
1831.083,900,2694.55137
1766.9717,900,2696.474691
1912.0143,900,2703.2323
439.48724,535,2704.076129
94.056946,149,2704.802222
204.50656,192,2716.007398
777.78485,428,2717.861686
763.7011,422,2718.813347
1913.4642,900,2719.119307
2032.3059,900,2724.211672
200.2407,177,2727.139513
1655.0626,900,2730.933817
1389.8809,713,2731.083798
2015.5808,900,2743.077348
33.024136,41,2745.629145
-41.879543,80,2750.615647
751.3621,426,2754.881148
1718.1458,900,2755.057969
1682.2235,900,2755.123571
468.6821,359,2756.034516
41.675365,166,2760.840345
228.67853,170,2766.620425
1768.9022,900,2767.801829
1739.6188,900,2768.862319
425.57153,258,2771.35483
1850.672,900,2783.496169
1914.6309,900,2784.731776
497.5974,327,2788.205882
22.786444,82,2788.639183
66.37821,73,2789.339623
1959.3444,900,2792.681238
1847.3977,900,2796.396227
1967.5919,900,2796.518146
220.74234,136,2800.87231
296.68396,484,2801.114659
407.2308,342,2809.413892
1830.4054,900,2810.469042
1899.9949,900,2810.660128
367.2146,250,2811.445738
1924.6416,900,2816.528264
932.6231,512,2820.727979
1512.3837,900,2822.328449
1729.6232,900,2824.442259
883.80023,521,2833.840947
1152.3649,589,2838.043668
576.1259,435,2838.491208
1956.6276,900,2844.609066
904.10175,455,2845.791317
396.70776,390,2847.570489
918.8948,613,2850.678478
2009.0397,900,2853.072062
210.08994,126,2853.683594
124.353905,108,2857.328506
732.2491,376,2857.711519
600.27606,394,2863.302011
265.3612,180,2864.852098
1983.7129,900,2866.156919
1877.5363,900,2867.043446
952.36285,582,2884.861074
1814.1687,900,2888.023631
2059.675,900,2891.640205
920.8578,579,2893.816296
112.46387,109,2901.175617
474.85526,372,2901.576397
1476.9692,900,2912.52926
691.1863,636,2915.84898
628.5948,375,2916.103682
1975.4114,900,2920.45438
1710.0978,900,2924.481194
1839.1974,900,2924.83544
228.12535,181,2926.662113
-11.5879965,57,2928.10796
1803.0197,900,2930.018229
363.88452,283,2932.925542
2035.8529,900,2933.052297
74.17103,82,2937.920636
1968.1749,900,2940.734714
1765.1024,900,2943.780584
695.5288,377,2949.050981
1967.0883,900,2956.222116
1795.1947,900,2956.529129
456.42865,276,2957.555959
1883.3799,900,2966.436014
492.04144,366,2971.533744
1939.1956,900,2974.537293
2041.3716,900,2978.638989
1886.9633,900,2982.332243
847.9047,439,2982.999702
2035.6123,900,2984.232344
1783.3125,900,2987.201832
111.619675,82,2992.302177
1985.8226,900,2992.42929
1662.5983,900,2998.512639
397.3652,238,2998.919293
188.23022,146,3001.386003
1939.5605,900,3019.807278
1990.5588,900,3021.171851
2042.8997,900,3030.030055
175.96965,159,3030.881441
1103.7188,541,3034.267561
1690.7213,900,3035.107183
406.88837,260,3035.650542
1995.555,900,3038.104726
930.96906,547,3040.751526
-1.5222878,48,3041.066737
144.7136,176,3041.572812
1977.2172,900,3042.348562
1907.1843,900,3046.181056
185.19463,182,3046.737402
1494.7262,900,3046.861319
123.13992,109,3048.997594
1928.4425,900,3062.902575
1423.9199,900,3065.493531
1030.4863,638,3069.312129
-61.65493,167,3073.411554
252.21567,270,3082.563602
943.4314,574,3082.697524
2106.1511,900,3090.414451
1928.0492,900,3091.292205
2017.6686,900,3097.058298
1812.6062,900,3097.380637
1868.322,900,3097.884806
45.141205,262,3099.052692
1391.5211,900,3102.576427
1873.6383,900,3103.231876
1075.9998,565,3104.827609
568.7355,356,3104.953812
2053.3755,900,3105.391611
443.71265,277,3114.496277
1326.7886,597,3127.469833
851.7345,399,3128.041834
691.8111,387,3129.041282
1797.9543,900,3129.735609
214.86485,461,3133.650282
1022.49945,576,3138.667763
1034.1154,607,3152.950114
245.99898,142,3157.310513
1930.1261,900,3157.310513
644.03986,342,3160.456456
1978.7239,900,3162.699146
2082.878,900,3163.65364
2005.2247,900,3165.081133
826.44403,480,3168.659259
36.89735,76,3169.42223
227.66383,172,3172.54119
1207.5527,572,3173.624262
1983.2642,900,3179.577126
855.5725,475,3181.301289
206.9738,181,3182.564389
409.49426,389,3189.275585
1752.8192,900,3191.182373
321.60376,269,3192.986456
2003.7635,900,3194.736043
848.7739,493,3197.239195
201.35345,150,3202.352041
423.84454,258,3204.154552
1871.6465,900,3205.825366
1970.5568,900,3205.825366
934.8111,531,3207.979137
2095.395,900,3211.110267
1953.0645,900,3213.370861
1703.957,900,3216.672557
152.74799,295,3225.290908
826.3174,405,3230.666929
1714.4429,900,3235.341702
-31.405157,40,3238.208516
599.31464,386,3240.762232
851.3479,526,3241.881981
903.88965,600,3242.170349
1922.0486,900,3245.091665
1878.8198,900,3250.433782
585.9644,343,3255.472008
1997.4319,900,3256.347576
439.53223,225,3257.060028
678.07074,385,3269.480919
1823.5726,900,3271.597569
1998.0823,900,3275.301901
1990.4906,900,3291.850687
1915.1696,900,3300.455373
840.16284,488,3302.510415
2059.1362,900,3312.902014
1936.6218,900,3316.646317
1011.3977,558,3319.378325
2039.3163,900,3319.51651
137.38768,126,3321.690735
1819.38,900,3324.571973
1935.2472,900,3329.587199
1906.2603,900,3330.441125
768.4802,445,3331.456178
327.75708,179,3337.691094
715.8585,377,3343.854552
1661.2618,900,3346.284673
765.2948,379,3346.811633
1542.1825,900,3350.11041
1895.8193,900,3355.892658
203.6316,421,3360.463748
1962.0812,900,3366.356261
632.194,284,3369.881184
1943.9597,900,3383.262337
322.79895,212,3384.503501
1952.5027,900,3385.399345
1737.0294,900,3393.879331
1766.6239,900,3394.817475
1946.8326,900,3400.797601
392.94327,276,3402.600829
1958.3923,900,3407.046309
2191.235,900,3409.597817
1788.9316,900,3410.130963
585.0231,446,3416.772433
557.39557,459,3418.856282
2008.4402,900,3419.736679
1989.7911,900,3424.558444
217.70717,215,3426.223929
1887.3169,900,3431.442556
370.44565,190,3433.559429
543.09906,387,3436.899065
354.28036,242,3455.665902
883.34216,629,3458.710336
1955.9347,900,3471.554639
2063.8198,900,3472.466562
789.4316,518,3479.369699
2038.05,900,3479.732001
2027.5712,900,3486.905595
2065.2048,900,3493.113353
1629.1139,900,3495.723701
1537.3214,900,3500.165349
1998.0477,900,3508.568934
1838.6456,900,3511.732033
488.88535,499,3515.466922
764.5071,418,3516.903605
2049.011,900,3519.260036
1983.0879,900,3523.25112
632.78235,527,3531.523604
21.447973,208,3534.828243
1866.5082,900,3536.335301
1647.414,900,3537.40087
56.480427,89,3538.235462
341.90262,359,3543.751801
2027.8206,900,3545.064978
289.03354,187,3548.871978
471.71533,457,3557.443675
1796.7931,900,3562.17226
1806.1324,900,3566.81227
2119.741,900,3575.371614
386.36646,205,3577.311663
2065.008,900,3578.562033
665.60724,508,3581.44856
755.0592,585,3581.685556
1982.7305,900,3582.413288
936.1619,501,3594.013377
1897.6262,900,3608.324296
2091.456,900,3609.33724
2048.9397,900,3616.529966
886.9957,496,3618.731702
806.2295,444,3619.004557
2058.7517,900,3620.119395
295.0379,208,3623.947392
154.54633,125,3632.835165
