#{"t_start": 1767717267.1060405, "env_id": "None"}
r,l,t
-27.836668,31,324.078502
-34.095207,102,324.148779
19.682596,217,335.214773
-0.20752943,89,336.14764
-48.065937,87,336.557308
67.071365,121,337.608509
-41.44411,118,337.725623
-10.745095,75,337.943635
-77.59376,102,338.280068
75.2592,147,338.995679
40.4892,199,339.822017
17.995495,61,339.880831
73.22512,153,342.008645
-115.133896,60,342.169217
-24.707006,90,342.524963
38.48152,88,342.641959
68.89619,129,343.00279
17.810978,149,343.110085
11.744698,113,343.617231
-14.798487,98,344.831507
323.67932,470,345.996277
9.30883,61,346.105848
-80.944565,29,346.256301
240.60281,265,346.308331
91.81433,73,346.605041
-118.66514,64,346.740739
-57.96932,47,348.589963
-69.15048,59,349.342046
-15.333131,147,349.630578
-52.236565,194,349.780964
73.30867,147,349.980639
-28.122173,68,350.119985
41.756416,73,350.507546
-14.663784,238,350.507546
18.23766,171,350.672168
-123.91025,93,350.778644
-65.21287,42,352.098237
-45.54115,41,352.830871
53.706448,55,353.388321
-13.465679,77,353.595951
-22.936615,72,354.284429
57.347244,71,354.502137
-5.1586957,177,355.524262
94.06835,105,355.644203
-24.044436,52,356.284512
-74.0628,152,356.380909
23.73163,78,359.254009
-27.752972,62,359.254009
18.819431,88,359.622937
95.582405,348,360.058575
74.286224,85,360.254006
34.460598,144,360.405048
19.661547,229,360.691899
76.296165,226,360.994994
58.90356,140,361.049629
94.77678,188,361.3998
-68.23012,72,363.248905
134.10931,212,363.328386
-30.017817,87,364.537359
109.48664,131,365.975167
34.70928,98,366.191853
63.525696,106,366.535191
48.00933,153,367.099623
-51.68697,51,368.610728
14.507512,308,369.990967
-13.168982,75,370.977304
-26.861963,185,371.04458
105.424385,151,371.21696
3.052859,210,371.652018
145.09271,141,371.922415
106.09591,112,372.392501
76.71113,182,372.793083
30.96977,165,374.744432
134.26086,119,374.808108
-23.529436,47,374.808108
82.53425,282,374.926049
-100.03346,58,374.926049
149.6271,309,376.459967
-27.311867,118,377.208491
-17.957342,88,377.354361
146.17409,133,378.091752
-21.55632,126,378.150781
-43.551476,73,378.678435
131.89871,172,378.930642
-35.973957,161,379.326438
-21.882067,45,379.609863
-64.9393,81,380.538528
18.099913,121,381.06738
15.944776,127,381.273899
67.302124,138,381.834065
26.970644,71,382.234315
-49.501987,68,382.33739
-25.063852,122,383.32402
-19.361197,36,384.031896
-62.88146,100,384.636861
89.62025,205,385.113575
20.551033,140,385.113575
103.55069,128,385.546657
57.782597,99,385.778815
-4.579702,80,385.989662
-112.516365,69,388.032094
223.69672,236,388.616035
9.523199,105,388.900824
3.2708836,88,388.941571
66.01427,197,389.433726
164.95326,223,389.872452
-14.245696,120,390.33639
91.202934,219,390.667817
-29.318443,153,390.667817
57.660427,194,391.321811
-87.710556,91,392.229612
23.631401,253,393.084517
127.64874,251,394.107621
-115.41282,136,394.147461
-25.162882,91,394.226572
16.947678,152,395.362431
-64.78231,105,395.568137
25.524832,47,396.0299
-135.31151,166,396.477627
-4.8151455,119,397.210963
81.14488,230,397.726959
152.39995,186,397.846239
209.96313,289,399.584375
-69.22944,129,399.746977
-25.009134,47,399.928445
101.73211,142,400.225179
103.913765,124,400.755561
57.6131,101,400.890596
45.373283,73,400.934859
172.97151,198,401.71738
-42.313404,114,402.47994
14.075626,87,404.237249
195.47325,321,405.077257
-128.05316,35,406.662434
-111.60794,113,406.851034
240.19809,240,407.023111
48.774883,126,407.229782
68.42015,145,408.217335
123.01325,168,408.263072
19.206182,97,408.70534
140.3891,187,409.950092
191.07857,295,410.76583
73.05698,97,412.56714
14.205827,96,412.965133
81.70653,108,413.266161
44.28834,123,413.703058
-47.352642,83,415.1367
39.363834,115,415.358453
-42.365627,236,415.69975
98.52496,156,417.57469
22.280516,51,417.775412
61.320408,95,418.168286
142.16928,350,418.666061
